1,Wine - Casablanca Valley,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,136.74,124,5/22/2023
2,The Pop Shoppe - Lime Rickey,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,290.82,73,3/22/2024
3,Wine - Muscadet Sur Lie,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,134.38,34,6/19/2023
4,"Soup - Canadian Pea, Dry Mix",morbi non quam nec dui luctus rutrum nulla tellus in sagittis,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,250.12,20,10/20/2023
5,Muffin Mix - Corn Harvest,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,278.1,197,9/14/2023
6,Chips - Potato Jalapeno,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,92.03,54,4/21/2024
7,"Turkey - Breast, Smoked",fusce posuere felis sed lacus morbi sem mauris laoreet ut,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,59.83,125,9/24/2023
8,Tea - Herbal Orange Spice,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,71.97,276,11/22/2023
9,Fruit Mix - Light,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,108.28,15,12/3/2023
10,Mudslide,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,119.44,274,9/1/2023
11,Wine - Port Late Bottled Vintage,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,153.58,246,5/14/2023
12,"7up Diet, 355 Ml",aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,241.78,194,12/13/2023
13,Sloe Gin - Mcguinness,mi nulla ac enim in tempor turpis nec euismod scelerisque,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,87.59,54,5/14/2023
14,Rice - Sushi,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,132.03,172,6/25/2023
15,"Soup - Campbells, Butternut",habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,280.98,294,1/31/2024
16,"Split Peas - Green, Dry",scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,102.92,50,8/15/2023
17,Mints - Striped Red,sed tristique in tempus sit amet sem fusce consequat nulla,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,255.48,141,3/16/2024
18,Mince Meat - Filling,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,104.8,263,1/6/2024
19,Beef - Shank,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,280.24,124,4/20/2024
20,"Bread - Crumbs, Bulk",at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,125.61,73,3/9/2024
21,Jameson - Irish Whiskey,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,39.34,80,5/13/2023
22,Chocolate - Mi - Amere Semi,nunc purus phasellus in felis donec semper sapien a libero nam dui,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,111.97,293,12/26/2023
23,Pepper - Scotch Bonnet,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,188.74,123,9/29/2023
24,"Corn - Cream, Canned",viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,191.36,112,2/8/2024
25,"Vinegar - Balsamic, White",diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,18.17,219,12/8/2023
26,"Cake Circle, Paprus",cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,277.27,179,12/11/2023
27,Beer - Steamwhistle,mauris enim leo rhoncus sed vestibulum sit amet cursus id,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,129.16,161,5/15/2023
28,Appetizer - Chicken Satay,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,151.2,21,10/31/2023
29,Fudge - Cream Fudge,fermentum justo nec condimentum neque sapien placerat ante nulla justo,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,111.55,99,6/19/2023
30,"Sauce - Bernaise, Mix",bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,124.19,5,8/18/2023
31,Ham - Cooked,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,6.02,223,10/4/2023
32,Butter Sweet,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,62.03,265,1/13/2024
33,"Nut - Pecan, Halves",lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,260.96,228,2/14/2024
34,Pimento - Canned,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,234.13,159,3/13/2024
35,"Nut - Chestnuts, Whole",sem sed sagittis nam congue risus semper porta volutpat quam,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,275.59,199,12/24/2023
36,Broom And Brush Rack Black,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,201.64,207,10/14/2023
37,Silicone Parch. 16.3x24.3,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,ac lobortis vel dapibus at diam nam tristique tortor eu,203.19,8,5/4/2024
38,Sauce - Hollandaise,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,122.14,33,5/9/2024
39,"Chicken - Leg, Boneless",eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,52.15,52,5/21/2023
40,"Trout - Hot Smkd, Dbl Fillet",nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,174.49,233,12/7/2023
41,Fiddlehead - Frozen,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,12.07,117,5/26/2023
42,Magnotta - Bel Paese White,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,84.34,139,6/23/2023
43,Bacardi Mojito,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,223.0,214,1/25/2024
44,"Potatoes - Purple, Organic",arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,sapien a libero nam dui proin leo odio porttitor id consequat in,23.97,222,7/7/2023
45,Chinese Foods - Plain Fried Rice,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,eu mi nulla ac enim in tempor turpis nec euismod,174.98,267,9/13/2023
46,"Pork - Ham, Virginia",sed sagittis nam congue risus semper porta volutpat quam pede,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,26.95,16,4/13/2024
47,"Rum - Dark, Bacardi, Black",in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,133.42,230,1/26/2024
48,Chinese Foods - Chicken,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,33.71,180,1/23/2024
49,Water Chestnut - Canned,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,214.38,296,6/20/2023
50,Mackerel Whole Fresh,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,178.41,23,4/1/2024
51,Wine - Chianti Classica Docg,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,114.52,298,6/26/2023
52,Bagel - Everything Presliced,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,93.42,49,2/27/2024
53,Skirt - 24 Foot,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,96.55,205,2/14/2024
54,Cheese - Roquefort Pappillon,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,141.75,209,4/30/2024
55,"Juice - Apple, 341 Ml",nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,278.66,73,10/1/2023
56,Cake - Sheet Strawberry,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,6.74,193,12/30/2023
57,Gingerale - Diet - Schweppes,eget eros elementum pellentesque quisque porta volutpat erat quisque erat,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,228.95,7,12/16/2023
58,"Wine - Saint - Bris 2002, Sauv",iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,284.96,177,1/12/2024
59,"Pepper - Chillies, Crushed",aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,15.3,278,11/12/2023
60,Hersey Shakes,a pede posuere nonummy integer non velit donec diam neque vestibulum eget,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,147.54,77,2/21/2024
61,Ecolab - Ster Bac,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,157.8,25,6/11/2023
62,Tea - Decaf Lipton,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,260.0,81,1/30/2024
63,Cheese - Bocconcini,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,cras mi pede malesuada in imperdiet et commodo vulputate justo,190.11,130,2/20/2024
64,Lamb Rack Frenched Australian,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,210.21,169,12/1/2023
65,Alize Sunset,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,225.32,88,2/2/2024
66,Truffle Shells - White Chocolate,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,189.61,44,3/9/2024
67,Cherries - Fresh,magna vulputate luctus cum sociis natoque penatibus et magnis dis,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,126.79,111,7/13/2023
68,Wine - Rosso Del Veronese Igt,id sapien in sapien iaculis congue vivamus metus arcu adipiscing,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,34.22,233,9/14/2023
69,Wine - Alsace Riesling Reserve,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,99.2,42,9/18/2023
70,Lidsoupcont Rp12dn,pellentesque at nulla suspendisse potenti cras in purus eu magna,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,175.05,288,5/4/2024
71,Tomatoes - Yellow Hot House,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,119.71,274,9/18/2023
72,Wine - Sicilia Igt Nero Avola,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,85.37,26,10/30/2023
73,"Pepper - Green, Chili",interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,234.5,283,12/27/2023
74,Mace Ground,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,174.07,237,12/9/2023
75,Butter Ripple - Phillips,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,252.59,38,11/20/2023
76,Zucchini - Yellow,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,141.01,242,6/14/2023
77,Snapple Lemon Tea,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,175.93,297,7/8/2023
78,"Doilies - 12, Paper",vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,266.99,217,4/1/2024
79,Juice - Orange 1.89l,sit amet cursus id turpis integer aliquet massa id lobortis,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,214.28,284,3/10/2024
80,Table Cloth 81x81 White,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,nulla tellus in sagittis dui vel nisl duis ac nibh fusce,66.41,159,3/30/2024
81,Pastry - Trippleberry Muffin - Mini,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,156.44,227,7/7/2023
82,Extract - Lemon,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,mi sit amet lobortis sapien sapien non mi integer ac neque duis,89.02,247,4/2/2024
83,Bar Mix - Lemon,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,264.98,117,5/13/2023
84,Macaroons - Two Bite Choc,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,32.44,204,6/10/2023
85,Water - Perrier,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,296.77,201,12/19/2023
86,Table Cloth 53x53 White,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,100.13,59,12/18/2023
87,Vegetable - Base,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,32.64,188,5/21/2023
88,Corn Meal,nulla suspendisse potenti cras in purus eu magna vulputate luctus,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,71.29,265,5/30/2023
89,"Juice - Orange, Concentrate",massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,61.19,244,1/17/2024
90,Onions - Green,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,72.45,211,7/21/2023
91,Island Oasis - Sweet And Sour Mix,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,38.39,7,11/8/2023
92,V8 Pet,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,243.43,229,6/19/2023
93,Carbonated Water - Blackcherry,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,32.76,259,3/31/2024
94,Sobe - Berry Energy,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,112.59,58,3/28/2024
95,"Tart Shells - Savory, 2",hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,76.39,215,8/26/2023
96,Wine - Lou Black Shiraz,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,109.81,36,5/2/2024
97,"Cheese - Brie, Triple Creme",vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,164.41,7,1/23/2024
98,Coffee - Ristretto Coffee Capsule,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,260.87,242,5/9/2024
99,Appetizer - Lobster Phyllo Roll,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,174.31,206,12/8/2023
100,Lamb - Ground,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,91.37,282,12/29/2023
